"Code","Description","Max # renewals","Reservable?","# of current toys","# of total toys","%","Total purchase price","Purchase price per toy","# toys with no purchase price","Total replacement price","Replacement price per toy","# Toys with no replacement price","Popularity","Edit","Delete*"
"Baby","Toys for 0-2","2","No","156","179","12.4%","$2,354.51","$21.02","44","$659.74","$15.71","114","Popularity","Edit",""
"Big","Big\outdoor\ride on","1","Yes","158","184","12.6%","$16,493.81","$108.51","6","$5,650.16","$108.66","106","","Edit",""
"Books","","2","No","13","17","1.0%","$57.94","$4.46","","","","13","Popularity","Edit",""
"Bouncy Castles","Bouncy Castles","0","Yes","1","1","0.1%","$1,800.00","$1,800.00","","$1,800.00","$1,800.00","","","Edit",""
"Construction","Blocks, trains, magnets...","2","No","64","81","5.1%","$4,312.99","$71.88","4","$209.99","$42.00","59","Popularity","Edit",""
"Dress-Ups","dressing up items","2","No","32","45","2.5%","$396.50","$13.67","3","$25.00","$1.56","16","Popularity","Edit",""
"Music","CDs instruments and musical toys","2","No","18","29","1.4%","$779.05","$55.65","4","$139.00","$27.80","13","Popularity","Edit",""
"New","New","1","Yes","256","264","20.4%","$2,331.83","$77.73","226","$2,197.49","$156.96","242","","Edit",""
"NONE","No category set","1","No","5","347","0.4%","$334.49","$66.90","","$333.99","$83.50","1","Popularity","Edit",""
"Over 5","Harder puzzles, games, small pieces, Lego","2","No","101","128","8.0%","$2,880.97","$30.33","6","$1,320.91","$45.55","72","Popularity","Edit",""
"PARENTS","For Parents","1","No","7","388","0.6%","","$0.00","","","","7","Popularity","Edit",""
"Preschool","2+ yr olds","2","No","283","368","22.5%","$7,935.40","$31.24","29","$2,348.97","$26.69","195","Popularity","Edit",""
"Puzzles and games","For under 5s","2","No","162","206","12.9%","$4,109.45","$27.77","14","$50.00","$10.00","157","Popularity","Edit",""